id;resident_id;first_name;last_name;email;phone_number
1;20867;Ashleigh;Blanda;Dominic_Parker@gmail.com;navigate drive architect
2;30152;Royce;Greenholt;Roel58@yahoo.com;Curve
3;49837;Oleta;Ward;Janis_Flatley11@gmail.com;Customer-focused
4;24000;Kaela;Rath;Aric.OReilly78@yahoo.com;Denar
5;58711;Emerald;Moore;Kaycee.Runolfsdottir@yahoo.com;schemas Senior disintermediate
6;54606;Macey;Conn;Roscoe_Lubowitz@yahoo.com;productivity Chicken Small
7;61165;Earnest;Hackett;Aaliyah20@hotmail.com;Salad primary
8;65913;Jarrell;O'Reilly;Isabelle.Rosenbaum64@hotmail.com;Islands
9;55391;Dewitt;Osinski;Drew26@yahoo.com;Clothing matrix deposit
10;35472;Chance;Johns;Cleo_Schoen@yahoo.com;system
